Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Portugal Wine Trophy 2022,Illustro 2013,2013,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Merlot",14,"4,5","3,3",83,30,No,Silver
Portugal Wine Trophy 2022,Aurore Syrah & Cabernet Sauvignon,2018,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Cabernet Sauvignon",14,"5,3","1,3",127,15,No,Gold
Portugal Wine Trophy 2022,Fautor Tempranillo,2018,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,14,"5,3","1,4",115,20,No,Gold
Portugal Wine Trophy 2022,Aurore Syrah & Cabernet Sauvignon 2017,2017,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Syrah, Cabernet Sauvignon",14,"5,3","1,3",127,15,No,Gold
Portugal Wine Trophy 2022,Aurore Feteasca Neagra & Tempranillo,2018,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Fetească Neagră, Tempranillo",14,"5,3","1,4",109,15,No,Gold
Portugal Wine Trophy 2022,Fautor Negre 2016,2016,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Fetească Neagră, Rara neagra",14,"5,5",4,65,30,No,Gold
Portugal Wine Trophy 2022,Fautor Negre 2017,2017,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Fetească Neagră, Rara neagra","14,5","5,5",4,65,30,No,Silver
Portugal Wine Trophy 2022,BARBARO,2019,Fautor srl,Moldavia,Valul lui Traian,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Saperavi, Syrah, Tempranillo",14,"5,4",3,130,30,No,Gold
Portugal Wine Trophy 2022,AnimAliens Saperavi,2019,Castel Mimi,Moldavia,Codru,Vino tranquilo,Seco,tanque de acero,tinto,Saperavi,"14,2","6,1","1,4",140,"2,8",No,Silver
Portugal Wine Trophy 2022,Castel Mimi Malbec Limited Edition,2017,Castel Mimi,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Malbec,"14,1","6,1","1,9",120,9,No,Gold
Portugal Wine Trophy 2022,Castel Mimi Rosu de Bulboaca,2018,Castel Mimi,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Malbec, Cabernet Sauvignon, Merlot","14,9","5,6","2,9",125,"5,5",No,Gold
Portugal Wine Trophy 2022,Castel Mimi Isterie,2018,Castel Mimi,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Malbec, Ravat 262, Saperavi, Fetească Neagră, Pinot Noir, Cabernet Sauvignon, Merlot","14,6","5,6","2,2",124,"4,5",No,Gold
Portugal Wine Trophy 2022,Castel Mimi Frati,2018,Castel Mimi,Moldavia,Codru,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Malbec","14,8","5,9","2,4",120,"4,5",No,Gold
Portugal Wine Trophy 2022,ZWEIGELT EVERY DAYS,2020,Weingut Keringer,Austria,Neusiedlersee,Vino tranquilo,Seco,tanque de acero,tinto,Zweigelt,13,"4,3","3,7",97,"7,5",No,Gold
Portugal Wine Trophy 2022,100 DAYS Zweigelt,2019,Weingut Keringer,Austria,Neusiedlersee,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Zweigelt,"14,5","4,7","3,8",110,16,No,Silver
Portugal Wine Trophy 2022,Commander St.Laurent,2019,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,St. Laurent,14,"4,7","3,9",97,"11,9",No,Silver
Portugal Wine Trophy 2022,MASSIV RED TOPROTWEINCUVÉE,2019,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Blaufränkisch, Cabernet Sauvignon, Ráthay, Merlot, Zweigelt","14,5","4,7","3,4",76,36,No,Grand Gold
Portugal Wine Trophy 2022,100 Days Shiraz,2019,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Shiraz,"14,5","4,3","3,3",95,17,No,Silver
Portugal Wine Trophy 2022,100 Days CABERNET,2019,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Cabernet Sauvignon,"14,5","4,8","2,8",94,17,No,Silver
Portugal Wine Trophy 2022,MASSIV RED TOPROTWEINCUVÉE,2018,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Merlot, Ráthay, Cabernet Sauvignon, Zweigelt, Blaufränkisch","14,5","4,7","3,9",76,34,No,Gold
Portugal Wine Trophy 2022,100 Days Merlot,2019,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,"15,5","5,3","4,2",77,17,No,Silver
Portugal Wine Trophy 2022,AVIATOR BLAUFRÄNKISCH,2020,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Blaufränkisch,14,"4,6",4,109,"9,5",No,Silver
Portugal Wine Trophy 2022,Heideboden Rotweincuvée,2020,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Blaufränkisch, Merlot, Cabernet Sauvignon, Zweigelt, St. Laurent","13,5","4,1","3,7",104,"10,9",No,Gold
