Volumendealcohol,Acidez,Azúcarresidual,Azufre,Medalla
0.13,0.00,2.00,0.00,Gold
14.00,5.24,0.00,107.00,Grand Gold
14.50,6.00,3.47,105.00,Gold
13.60,5.80,2.20,75.00,Gold
15.00,5.70,5.00,0.00,Gold
14.00,5.40,3.60,130.00,Gold
13.00,5.91,2.51,90.00,Gold
14.00,5.20,5.00,0.00,Gold
13.00,5.75,3.10,122.00,Gold
13.81,5.60,3.40,49.00,Gold
13.06,5.20,2.20,106.00,Gold
14.00,5.10,2.70,124.00,Gold
14.78,5.20,1.70,83.00,Gold
14.00,5.00,3.10,102.00,Gold
14.50,5.70,3.60,0.00,Gold
13.00,4.72,0.30,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.13,0.00,5.00,0.00,Gold
14.50,5.10,1.20,113.00,Gold
13.50,5.00,0.90,99.00,Gold
0.15,0.00,5.00,0.00,Gold
14.10,5.20,2.00,118.00,Gold
14.23,4.60,2.00,116.00,Gold
14.30,5.20,2.20,116.00,Gold
13.70,5.30,1.80,63.00,Gold
13.93,4.70,1.80,101.00,Gold
14.00,5.30,1.40,115.00,Gold
14.00,5.20,3.30,83.00,Gold
14.50,5.50,4.00,65.00,Gold
12.50,6.20,8.10,0.00,Gold
13.00,5.60,8.00,0.00,Gold
0.00,0.00,0.00,0.00,Gold
14.00,5.80,9.10,0.00,Gold
15.00,5.60,7.00,115.00,Gold
0.14,0.00,2.00,0.00,Gold
12.00,4.70,6.20,134.00,Gold
15.00,5.80,2.50,0.00,Gold
15.00,5.70,2.00,0.00,Gold
15.50,5.80,2.50,0.00,Gold
13.50,5.10,3.80,0.00,Gold
15.00,5.60,4.00,0.00,Gold
13.50,5.10,3.80,0.00,Gold
14.70,6.90,5.10,0.00,Gold
14.00,5.80,6.20,0.00,Gold
14.50,4.20,1.40,0.00,Gold
15.50,6.00,2.80,0.00,Gold
14.50,0.00,0.00,0.00,Gold
14.60,6.50,5.80,0.00,Gold
14.50,6.90,4.60,0.00,Gold
0.12,0.00,2.00,0.00,Gold
13.50,0.00,2.00,0.00,Gold
