Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Berlin -Edición de verano- 2022,Estate Mega Spileo red,2015,Cavino,Grecia,Peloponnes,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Mavrodafni, Mavro Kalavritino",15,"6,3","1,5",110,"18,5",No,Gold
Berlin -Edición de verano- 2022,Mega Spileo III Cuvee red,2019,Cavino,Grecia,Peloponnes,Vino tranquilo,Semi seco,maduración en barrica - 100%,tinto,"Agiorgitiko, Mavrodafni, Cabernet Sauvignon",13,"5,2",10,100,11,No,Gold
Berlin -Edición de verano- 2022,Calvet AOP Côte Rôtie,2020,François Martenot,Francia,Rhone,Vino tranquilo,Seco,tanque de acero,tinto,"Syrah, Viognier","13,41","3,61","0,85",49,"38,99",No,Gold
Berlin -Edición de verano- 2022,Merlot - Syrah,2020,Papakonstantinou Aimilios,Grecia,Dodekanes,Vino tranquilo,Seco,tanque de acero,tinto,"Syrah, Merlot","14,5","5,3","2,1",78,"10,5",No,Gold
Berlin -Edición de verano- 2022,Kalterersee Doc,2021,Casa Girelli,Italia,Südtirol Alto Adige,Vino tranquilo,Seco,tanque de acero,tinto,Schiava,"11,4","4,9","5,8",115,"5,49",No,Gold
Berlin -Edición de verano- 2022,Tavera Garnacha Roble,2019,MW Wines,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Garnacha,"14,5","5,18","2,4",85,No especificado,No,Gold
Berlin -Edición de verano- 2022,Tavera Vendimia Seleccionada,2017,MW Wines,España,Kastilien-La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Garnacha, Tempranillo, Syrah","14,5","4,98",2,116,No especificado,No,Gold
Berlin -Edición de verano- 2022,Altos de Aranda,2020,Bodegas Viña Buena,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Tempranillo,"13,5","4,9","1,7",85,No especificado,No,Gold
Berlin -Edición de verano- 2022,Arzuaga Crianza,2019,Bodegas Arzuaga Navarro,España,Kastilien-León,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranillo, Cabernet Sauvignon","14,6","4,65","1,43",98,"28,65",No,Gold
Berlin -Edición de verano- 2022,Altos R Reserva,2018,Altos de Rioja Viticultores y Bodegueros,España,País Vasco,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Tempranillo,"14,5","3,41","1,8",55,"15,9",No,Gold
Berlin -Edición de verano- 2022,Altos R Pigeage,2018,Altos de Rioja Viticultores y Bodegueros,España,País Vasco,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Tempranillo, Graciano",15,"3,5","1,5",90,"33,9",No,Gold
Berlin -Edición de verano- 2022,Clos Beauregard AOP Pomerol,2018,Château Beauregard,Francia,Bordeaux,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Merlot,"14,93","3,4","0,8",77,"39,99",No,Grand Gold
Berlin -Edición de verano- 2022,"Ahr Spätburgunder ""Edition Exclusiv"" trocken",2019,Winzergenossenschaft Mayschoß-Altenahr,Alemania,Ahr,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Spätburgunder,"13,17","5,4",5,149,"10,99",No,Gold
Berlin -Edición de verano- 2022,RAICES RESERVA,2018,Bodegas Fernando Castro,España,Castilla La Mancha,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Syrah,"13,24","4,72","1,6",95,6,No,Gold
Berlin -Edición de verano- 2022,Calvet AOP Saint Joseph,2020,François Martenot,Francia,Rhone,Vino tranquilo,Seco,tanque de acero,tinto,Syrah,"13,77","5,33",0,76,"22,99",No,Gold
Berlin -Edición de verano- 2022,Viña Nardos,2021,"Hacienda y Vinedos Marques del Atrio, S.L.",España,La Rioja,Vino tranquilo,Seco,tanque de acero,tinto,"Tempranillo, Garnacha","13,5","5,3","1,8",30,"5,75",No,Gold
Berlin -Edición de verano- 2022,Tasheli Patkara,2021,Tasheli Wines,Turquía,Mediterranean,Vino tranquilo,Seco,tanque de acero,tinto,Patkara,"14,5","0,6","1,5",38,"7,9",No,Gold
